AIC BIC aBIC DIC
tso_long_bayes_r12 NA NA NA 105747.076
msst_wide_ml_r13 -999 -999 -999 -999
msst_long_ml_r13 125795.333 125909.013 125858.168 NA
msst_wide_bayes_r13 NA NA NA NA
msst_long_bayes_r13 NA NA NA 124222.827
cuts_wide_ml_r13 -999 -999 -999 -999
cuts_long_ml_r13 -999 -999 -999 -999
cuts_wide_bayes_r13 NA NA NA NA
cuts_long_bayes_r13 NA NA NA 118423.836
tso_wide_ml_r13 -999 -999 -999 -999
tso_wide_bayes_r13 NA NA NA NA
tso_long_bayes_r13 NA NA NA 105132.087
msst_wide_ml_r14 -999 -999 -999 -999
msst_long_ml_r14 127282.969 127396.649 127345.804 NA
msst_wide_bayes_r14 NA NA NA NA
msst_long_bayes_r14 NA NA NA 125585.71
cuts_wide_ml_r14 -999 -999 -999 -999
cuts_long_ml_r14 -999 -999 -999 -999
cuts_wide_bayes_r14 NA NA NA NA
cuts_long_bayes_r14 NA NA NA 119041.971
tso_wide_ml_r14 -999 -999 -999 -999
tso_wide_bayes_r14 NA NA NA NA
tso_long_bayes_r14 NA NA NA 106072.029
msst_wide_ml_r15 -999 -999 -999 -999
msst_long_ml_r15 127260.69 127374.37 127323.524 NA
msst_wide_bayes_r15 NA NA NA NA
msst_long_bayes_r15 NA NA NA 125390.063
cuts_wide_ml_r15 -999 -999 -999 -999
cuts_long_ml_r15 -999 -999 -999 -999
cuts_wide_bayes_r15 NA NA NA NA
cuts_long_bayes_r15 NA NA NA 118421.97
tso_wide_ml_r15 -999 -999 -999 -999
tso_wide_bayes_r15 NA NA NA NA
tso_long_bayes_r15 NA NA NA 105501.55
msst_wide_ml_r16 -999 -999 -999 -999
msst_long_ml_r16 126021.883 126135.563 126084.718 NA
msst_wide_bayes_r16 NA NA NA NA
msst_long_bayes_r16 NA NA NA 124309.852
cuts_wide_ml_r16 -999 -999 -999 -999
cuts_long_ml_r16 -999 -999 -999 -999
cuts_wide_bayes_r16 NA NA NA NA
cuts_long_bayes_r16 NA NA NA 118549.506
tso_wide_ml_r16 -999 -999 -999 -999
tso_wide_bayes_r16 NA NA NA NA
tso_long_bayes_r16 NA NA NA 105344.699
msst_wide_ml_r17 -999 -999 -999 -999
msst_long_ml_r17 126683.496 126797.176 126746.331 NA
msst_wide_bayes_r17 NA NA NA NA
msst_long_bayes_r17 NA NA NA 125100.908
cuts_wide_ml_r17 -999 -999 -999 -999
cuts_long_ml_r17 -999 -999 -999 -999
cuts_wide_bayes_r17 NA NA NA NA
cuts_long_bayes_r17 NA NA NA 118764.953
tso_wide_ml_r17 -999 -999 -999 -999
tso_wide_bayes_r17 NA NA NA NA
tso_long_bayes_r17 NA NA NA 105590.877
msst_wide_ml_r18 -999 -999 -999 -999
msst_long_ml_r18 126941.539 127055.218 127004.373 NA
msst_wide_bayes_r18 NA NA NA NA
msst_long_bayes_r18 NA NA NA 125107.62
cuts_wide_ml_r18 -999 -999 -999 -999
cuts_long_ml_r18 -999 -999 -999 -999
cuts_wide_bayes_r18 NA NA NA NA
cuts_long_bayes_r18 NA NA NA 118582.842
tso_wide_ml_r18 -999 -999 -999 -999
tso_wide_bayes_r18 NA NA NA NA
tso_long_bayes_r18 NA NA NA 105254.417
msst_wide_ml_r19 -999 -999 -999 -999
msst_long_ml_r19 127350.972 127464.651 127413.806 NA
msst_wide_bayes_r19 NA NA NA NA
msst_long_bayes_r19 NA NA NA 125220.171
cuts_wide_ml_r19 -999 -999 -999 -999
cuts_long_ml_r19 -999 -999 -999 -999
cuts_wide_bayes_r19 NA NA NA NA
cuts_long_bayes_r19 NA NA NA 119208.154
tso_wide_ml_r19 -999 -999 -999 -999
tso_wide_bayes_r19 NA NA NA NA
tso_long_bayes_r19 NA NA NA 105820.869
msst_wide_ml_r20 -999 -999 -999 -999
msst_long_ml_r20 126358.403 126472.083 126421.238 NA
msst_wide_bayes_r20 NA NA NA NA
msst_long_bayes_r20 NA NA NA 124514.807
cuts_wide_ml_r20 -999 -999 -999 -999
cuts_long_ml_r20 -999 -999 -999 -999
cuts_wide_bayes_r20 NA NA NA NA
cuts_long_bayes_r20 NA NA NA 118364.458
tso_wide_ml_r20 -999 -999 -999 -999
tso_wide_bayes_r20 NA NA NA NA
